**********  emmision probabilities  **********
P(Et | Xt)
P( h | x ) = 0.00519 
P( i | x ) = 0.00519 
P( j | x ) = 0.00519 
P( k | x ) = 0.00519 
P( l | x ) = 0.00519 
P( m | x ) = 0.00519 
P( n | x ) = 0.00519 
P( o | x ) = 0.00519 
P( p | x ) = 0.00519 
P( q | x ) = 0.00519 
P( r | x ) = 0.00519 
P( s | x ) = 0.058824 
P( t | x ) = 0.00519 
P( u | x ) = 0.00519 
P( v | x ) = 0.00519 
P( w | x ) = 0.00519 
P( x | x ) = 0.712803 
P( y | x ) = 0.00519 
P( z | x ) = 0.044983 

P( _ | y ) = 0.000536 
P( a | y ) = 0.000536 
P( b | y ) = 0.000536 
P( c | y ) = 0.000536 
P( d | y ) = 0.000536 
P( e | y ) = 0.000536 
P( f | y ) = 0.000536 
P( g | y ) = 0.050714 
P( h | y ) = 0.050714 
P( i | y ) = 0.000536 
P( j | y ) = 0.000536 
P( k | y ) = 0.000536 
P( l | y ) = 0.000536 
P( m | y ) = 0.000536 
P( n | y ) = 0.000536 
P( o | y ) = 0.000536 
P( p | y ) = 0.000536 
P( q | y ) = 0.000536 
P( r | y ) = 0.000536 
P( s | y ) = 0.000536 
P( t | y ) = 0.0475 
P( u | y ) = 0.042143 
P( v | y ) = 0.000536 
P( w | y ) = 0.000536 
P( x | y ) = 0.000536 
P( y | y ) = 0.800357 
P( z | y ) = 0.000536 

P( _ | z ) = 0.010274 
P( a | z ) = 0.041096 
P( b | z ) = 0.010274 
P( c | z ) = 0.010274 
P( d | z ) = 0.010274 
P( e | z ) = 0.010274 
P( f | z ) = 0.010274 
P( g | z ) = 0.010274 
P( h | z ) = 0.010274 
P( i | z ) = 0.010274 
P( j | z ) = 0.010274 
P( k | z ) = 0.010274 
P( l | z ) = 0.010274 
P( m | z ) = 0.010274 
P( n | z ) = 0.010274 
P( o | z ) = 0.010274 
P( p | z ) = 0.010274 
P( q | z ) = 0.010274 
P( r | z ) = 0.010274 
P( s | z ) = 0.082192 
P( t | z ) = 0.010274 
P( u | z ) = 0.010274 
P( v | z ) = 0.010274 
P( w | z ) = 0.010274 
P( x | z ) = 0.061644 
P( y | z ) = 0.010274 
P( z | z ) = 0.643836 

************************************************
**********  transition probabilities  **********
************************************************
P(Xt+1 | Xt)

P( _ | _ ) = 3.7e-05
P( a | _ ) = 0.105174
P( b | _ ) = 0.0495
P( c | _ ) = 0.041526
P( d | _ ) = 0.028995
P( e | _ ) = 0.030869
P( f | _ ) = 0.03594
P( g | _ ) = 0.016868
P( h | _ ) = 0.035462
P( i | _ ) = 0.080626
P( j | _ ) = 0.002021
P( k | _ ) = 0.002793
P( l | _ ) = 0.022233
P( m | _ ) = 0.04035
P( n | _ ) = 0.026385
P( o | _ ) = 0.078238
P( p | _ ) = 0.053653
P( q | _ ) = 0.001213
P( r | _ ) = 0.026202
P( s | _ ) = 0.075298
P( t | _ ) = 0.174776
P( u | _ ) = 0.010216
P( v | _ ) = 0.004814
P( w | _ ) = 0.0538
P( x | _ ) = 0.000147
P( y | _ ) = 0.002756
P( z | _ ) = 3.7e-05

P( _ | a ) = 0.067615
P( a | a ) = 0.000101
P( b | a ) = 0.022505
P( c | a ) = 0.039055
P( d | a ) = 0.028358
P( e | a ) = 0.000202
P( f | a ) = 0.004239
P( g | a ) = 0.020184
P( h | a ) = 0.000505
P( i | a ) = 0.027349
P( j | a ) = 0.002321
P( k | a ) = 0.019275
P( l | a ) = 0.135836
P( m | a ) = 0.019376
P( n | a ) = 0.194268
P( o | a ) = 0.000404
P( p | a ) = 0.018165
P( q | a ) = 0.000303
P( r | a ) = 0.09012
P( s | a ) = 0.064689
P( t | a ) = 0.166717
P( u | a ) = 0.016147
P( v | a ) = 0.033101
P( w | a ) = 0.002826
P( x | a ) = 0.000505
P( y | a ) = 0.024927
P( z | a ) = 0.000706

P( _ | b ) = 0.009615
P( a | b ) = 0.037955
P( b | b ) = 0.00253
P( c | b ) = 0.001012
P( d | b ) = 0.000506
P( e | b ) = 0.407389
P( f | b ) = 0.001012
P( g | b ) = 0.000506
P( h | b ) = 0.000506
P( i | b ) = 0.036943
P( j | b ) = 0.008097
